,status,id,code_gender,flag_own_car,flag_own_realty,cnt_children,amt_income_total,name_income_type,name_education_type,name_family_status,name_housing_type,days_birth,days_employed,flag_mobil,flag_work_phone,flag_phone,flag_email,occupation_type,cnt_fam_members
11233,0,5115895,f,n,y,0,90000.0,pensioner,secondary_/_secondary_special,married,house_/_apartment,-22689,365243,1,0,0,0,,2.0
701,0,5011002,f,y,y,0,157500.0,working,secondary_/_secondary_special,married,house_/_apartment,-10737,-2078,1,0,0,1,sales_staff,2.0
2141,0,5028401,f,y,y,0,247500.0,commercial_associate,secondary_/_secondary_special,married,house_/_apartment,-14667,-1422,1,0,0,0,sales_staff,2.0
10189,0,5105711,f,n,y,0,180000.0,working,secondary_/_secondary_special,married,house_/_apartment,-13856,-3010,1,0,0,0,laborers,2.0
9099,0,5095387,m,y,y,1,270000.0,working,secondary_/_secondary_special,married,municipal_apartment,-8900,-673,1,0,1,1,core_staff,3.0
3908,0,5046058,f,n,y,0,202500.0,commercial_associate,higher_education,married,house_/_apartment,-12972,-2208,1,1,1,0,managers,2.0
4898,0,5053446,f,n,y,1,135000.0,commercial_associate,higher_education,separated,house_/_apartment,-16352,-3772,1,0,0,0,accountants,2.0
7175,0,5068710,f,y,y,0,90000.0,working,secondary_/_secondary_special,married,house_/_apartment,-13483,-5345,1,0,0,0,laborers,2.0
14270,0,5146429,m,y,n,0,261000.0,commercial_associate,incomplete_higher,civil_marriage,with_parents,-8897,-674,1,0,0,0,sales_staff,2.0
9072,0,5095290,f,n,y,1,229500.0,state_servant,higher_education,married,house_/_apartment,-11187,-1769,1,0,0,0,,3.0
9450,1,5096743,f,n,y,0,180000.0,working,lower_secondary,widow,house_/_apartment,-16803,-2227,1,1,1,0,cleaning_staff,1.0
11182,0,5115711,m,n,y,1,202500.0,state_servant,higher_education,married,house_/_apartment,-10756,-2355,1,0,0,0,core_staff,3.0
8618,0,5091532,f,n,y,0,90000.0,working,higher_education,married,house_/_apartment,-13682,-6105,1,0,0,0,,2.0
4991,0,5053742,f,n,y,0,360000.0,state_servant,higher_education,married,house_/_apartment,-16182,-3163,1,0,1,0,managers,2.0
14593,0,5149239,m,n,n,0,225000.0,commercial_associate,higher_education,married,with_parents,-9412,-959,1,0,1,0,it_staff,2.0
1088,0,5022290,f,n,n,1,157500.0,working,secondary_/_secondary_special,civil_marriage,house_/_apartment,-15100,-3500,1,0,0,0,cooking_staff,3.0
11786,0,5117432,m,y,n,0,157500.0,commercial_associate,secondary_/_secondary_special,married,house_/_apartment,-19370,-2410,1,1,1,0,laborers,2.0
9846,0,5100435,m,y,y,2,450000.0,commercial_associate,incomplete_higher,married,house_/_apartment,-13027,-430,1,0,0,0,managers,4.0
6492,0,5066636,f,n,y,0,40500.0,pensioner,secondary_/_secondary_special,married,house_/_apartment,-21177,365243,1,0,0,0,,2.0
3503,0,5041793,m,n,n,0,225000.0,working,incomplete_higher,married,house_/_apartment,-9908,-276,1,1,0,0,drivers,2.0
12242,0,5118584,f,n,n,1,247500.0,commercial_associate,incomplete_higher,married,house_/_apartment,-12217,-2349,1,1,0,0,,3.0
4149,0,5047789,f,y,y,0,225000.0,commercial_associate,higher_education,married,house_/_apartment,-10457,-979,1,0,0,0,,2.0
11738,0,5117280,m,y,y,1,180000.0,working,higher_education,married,house_/_apartment,-14082,-1800,1,0,0,0,managers,3.0
6171,0,5062497,m,n,y,1,225000.0,state_servant,secondary_/_secondary_special,married,house_/_apartment,-9183,-2054,1,0,0,0,drivers,3.0
699,0,5011000,f,n,y,0,90000.0,working,secondary_/_secondary_special,married,house_/_apartment,-20074,-221,1,0,0,0,medicine_staff,2.0
9594,0,5097187,f,y,n,0,171000.0,pensioner,secondary_/_secondary_special,widow,house_/_apartment,-23349,365243,1,0,0,0,,1.0
8985,0,5094957,f,n,y,0,112500.0,pensioner,higher_education,single_/_not_married,house_/_apartment,-21775,365243,1,0,0,0,,1.0
8249,0,5090308,f,n,y,0,180000.0,commercial_associate,higher_education,single_/_not_married,house_/_apartment,-17945,-1683,1,0,0,1,hr_staff,1.0
2337,0,5028947,f,n,y,0,90000.0,state_servant,secondary_/_secondary_special,married,house_/_apartment,-17420,-234,1,0,0,0,,2.0
8942,0,5093250,f,n,y,0,247500.0,commercial_associate,higher_education,married,house_/_apartment,-11914,-2980,1,0,0,0,sales_staff,2.0
6984,0,5068038,f,n,n,0,112500.0,state_servant,secondary_/_secondary_special,married,with_parents,-17164,-9363,1,0,0,0,medicine_staff,2.0
2864,0,5035738,f,y,y,0,103500.0,state_servant,higher_education,separated,house_/_apartment,-17138,-8072,1,1,1,0,core_staff,1.0
3431,0,5041557,f,y,y,0,180000.0,commercial_associate,higher_education,married,house_/_apartment,-12953,-306,1,1,1,0,,2.0
2389,0,5029098,m,y,y,2,135000.0,working,higher_education,married,house_/_apartment,-11564,-2944,1,0,0,1,managers,4.0
12375,0,5125542,m,n,n,0,180000.0,working,higher_education,married,with_parents,-13484,-2417,1,1,1,0,high_skill_tech_staff,2.0
5733,0,5061500,f,n,y,1,135000.0,working,incomplete_higher,married,house_/_apartment,-15948,-9359,1,0,0,0,,3.0
10492,1,5112858,f,y,n,1,270000.0,working,secondary_/_secondary_special,civil_marriage,house_/_apartment,-12380,-2110,1,0,0,0,laborers,3.0
5194,0,5054264,m,y,n,2,427500.0,commercial_associate,higher_education,married,house_/_apartment,-14561,-4745,1,0,1,0,,4.0
7018,0,5068134,f,n,y,0,180000.0,working,secondary_/_secondary_special,married,house_/_apartment,-18439,-2758,1,0,0,0,laborers,2.0
2792,0,5033855,f,n,y,0,90000.0,working,secondary_/_secondary_special,married,house_/_apartment,-20474,-11683,1,1,1,0,accountants,2.0
11407,0,5116333,f,y,y,0,162000.0,working,secondary_/_secondary_special,civil_marriage,house_/_apartment,-21152,-397,1,0,0,0,managers,2.0
4137,0,5047747,f,n,y,2,157500.0,commercial_associate,secondary_/_secondary_special,married,house_/_apartment,-10086,-1679,1,0,0,0,sales_staff,4.0
4561,0,5051014,f,n,n,1,225000.0,commercial_associate,secondary_/_secondary_special,married,house_/_apartment,-10448,-3392,1,1,1,1,realty_agents,3.0
933,0,5021810,f,y,y,1,67500.0,working,secondary_/_secondary_special,married,house_/_apartment,-11454,-1678,1,0,1,1,cooking_staff,3.0
10151,0,5105633,f,n,y,1,90000.0,working,secondary_/_secondary_special,married,house_/_apartment,-13352,-2561,1,1,1,0,,3.0
5920,0,5061946,f,n,y,0,135000.0,pensioner,secondary_/_secondary_special,widow,house_/_apartment,-23183,365243,1,0,1,0,,1.0
12496,0,5125874,m,y,y,1,270000.0,commercial_associate,higher_education,separated,house_/_apartment,-15182,-226,1,0,0,1,high_skill_tech_staff,2.0
11213,0,5115821,f,y,y,2,234000.0,commercial_associate,secondary_/_secondary_special,married,house_/_apartment,-12226,-1382,1,1,1,0,sales_staff,4.0
5378,0,5056072,m,y,y,0,157500.0,pensioner,higher_education,married,house_/_apartment,-24818,365243,1,0,0,0,,2.0
2644,0,5033426,f,n,y,0,247500.0,working,secondary_/_secondary_special,widow,house_/_apartment,-20030,-2607,1,0,0,0,cooking_staff,1.0
11465,0,5116531,f,n,y,0,90000.0,pensioner,secondary_/_secondary_special,married,house_/_apartment,-21432,365243,1,0,0,0,,2.0
10271,0,5106002,f,y,y,2,67500.0,state_servant,higher_education,married,house_/_apartment,-11831,-3778,1,1,1,0,core_staff,4.0
7122,0,5068537,f,y,y,0,337500.0,working,secondary_/_secondary_special,single_/_not_married,house_/_apartment,-19804,-3246,1,0,0,0,sales_staff,1.0
1714,0,5024233,f,n,y,0,47250.0,pensioner,secondary_/_secondary_special,married,municipal_apartment,-21414,365243,1,0,1,0,,2.0
2932,0,5036609,f,n,y,0,279000.0,working,secondary_/_secondary_special,married,rented_apartment,-16529,-3822,1,0,0,0,sales_staff,2.0
4883,0,5053402,f,y,y,0,180000.0,working,higher_education,married,house_/_apartment,-20720,-7090,1,0,1,0,laborers,2.0
5978,0,5062113,m,y,y,0,310500.0,working,secondary_/_secondary_special,married,house_/_apartment,-17067,-1720,1,0,1,1,high_skill_tech_staff,2.0
7675,0,5085840,m,y,y,1,135000.0,working,incomplete_higher,married,house_/_apartment,-11638,-5009,1,0,1,0,laborers,3.0
14589,0,5149228,f,n,y,0,247500.0,commercial_associate,higher_education,widow,house_/_apartment,-23339,-1233,1,0,1,0,,1.0
13137,0,5137025,f,n,n,0,180000.0,state_servant,secondary_/_secondary_special,widow,house_/_apartment,-18181,-351,1,1,1,0,laborers,1.0
9704,0,5100024,m,y,n,1,148500.0,commercial_associate,secondary_/_secondary_special,married,house_/_apartment,-12930,-2865,1,1,1,0,drivers,3.0
4981,1,5053701,f,n,n,0,193500.0,working,secondary_/_secondary_special,single_/_not_married,municipal_apartment,-17880,-9858,1,0,0,0,cooking_staff,2.0
1623,0,5023975,m,y,y,1,270000.0,commercial_associate,secondary_/_secondary_special,married,house_/_apartment,-15167,-2162,1,0,0,0,drivers,3.0
13231,0,5137250,m,y,n,0,135000.0,working,secondary_/_secondary_special,single_/_not_married,house_/_apartment,-18529,-1204,1,0,0,0,drivers,1.0
2381,0,5029078,f,n,y,1,135000.0,working,incomplete_higher,separated,house_/_apartment,-10153,-599,1,0,0,0,sales_staff,2.0
8260,0,5090351,m,n,y,0,112500.0,working,secondary_/_secondary_special,married,house_/_apartment,-19087,-6128,1,0,0,0,laborers,2.0
9052,0,5095243,f,n,n,2,112500.0,working,secondary_/_secondary_special,separated,house_/_apartment,-14307,-188,1,0,0,0,laborers,3.0
298,0,5009774,m,n,n,0,135000.0,working,secondary_/_secondary_special,separated,house_/_apartment,-14118,-3174,1,0,0,0,laborers,1.0
3665,0,5044636,f,y,y,0,81000.0,pensioner,secondary_/_secondary_special,married,house_/_apartment,-21360,365243,1,0,1,0,,2.0
14094,0,5145753,f,y,y,0,135000.0,working,higher_education,married,house_/_apartment,-15468,-4834,1,0,0,1,,2.0
2171,0,5028489,m,y,y,0,405000.0,working,secondary_/_secondary_special,married,house_/_apartment,-16319,-1086,1,1,0,0,managers,2.0
14225,0,5146246,f,n,y,0,238500.0,pensioner,secondary_/_secondary_special,married,house_/_apartment,-23171,365243,1,0,0,0,,2.0
10608,0,5113239,f,n,y,1,175500.0,working,secondary_/_secondary_special,married,house_/_apartment,-16704,-132,1,1,0,0,cleaning_staff,3.0
10824,0,5113881,f,n,n,2,180000.0,state_servant,higher_education,married,house_/_apartment,-13727,-5215,1,0,0,0,managers,4.0
8551,0,5091288,f,n,y,0,184500.0,pensioner,secondary_/_secondary_special,single_/_not_married,house_/_apartment,-24580,365243,1,0,0,0,,1.0
14064,0,5143606,m,y,y,0,270000.0,commercial_associate,secondary_/_secondary_special,civil_marriage,house_/_apartment,-10796,-990,1,1,0,1,,2.0
2232,0,5028694,f,y,y,1,180000.0,commercial_associate,higher_education,separated,house_/_apartment,-18349,-7205,1,0,0,0,core_staff,2.0
14324,0,5148446,m,y,y,0,225000.0,working,secondary_/_secondary_special,married,house_/_apartment,-11226,-2236,1,0,0,0,drivers,2.0
9850,0,5100440,f,n,n,0,193500.0,pensioner,higher_education,widow,house_/_apartment,-22010,365243,1,0,0,0,,1.0
691,0,5010990,f,n,y,0,90000.0,working,secondary_/_secondary_special,married,house_/_apartment,-20074,-221,1,0,0,0,medicine_staff,2.0
709,0,5011010,f,y,y,0,157500.0,working,secondary_/_secondary_special,married,house_/_apartment,-10737,-2078,1,0,0,1,sales_staff,2.0
14214,0,5146138,f,n,y,0,135000.0,working,secondary_/_secondary_special,married,house_/_apartment,-10170,-2196,1,1,1,0,cooking_staff,2.0
2217,0,5028621,m,n,y,1,180000.0,commercial_associate,secondary_/_secondary_special,single_/_not_married,house_/_apartment,-14393,-1938,1,0,0,0,drivers,2.0
8045,0,5089624,f,n,n,0,315000.0,commercial_associate,higher_education,married,house_/_apartment,-16188,-309,1,1,1,1,sales_staff,2.0
3317,0,5041141,f,n,y,0,157500.0,state_servant,incomplete_higher,civil_marriage,house_/_apartment,-10338,-795,1,0,0,0,core_staff,2.0
4345,0,5048366,f,n,n,0,108000.0,pensioner,secondary_/_secondary_special,widow,house_/_apartment,-22182,365243,1,0,0,0,,1.0
10815,0,5113861,m,n,n,0,135000.0,working,secondary_/_secondary_special,married,house_/_apartment,-10368,-1259,1,1,0,0,high_skill_tech_staff,2.0
1265,0,5022868,f,y,y,2,225000.0,commercial_associate,higher_education,married,house_/_apartment,-14100,-3623,1,0,0,0,private_service_staff,4.0
4301,0,5048225,f,n,n,0,90000.0,working,secondary_/_secondary_special,separated,house_/_apartment,-18764,-9866,1,0,0,0,laborers,1.0
11370,0,5116252,m,y,y,0,180000.0,working,secondary_/_secondary_special,married,house_/_apartment,-20201,-596,1,1,1,0,drivers,2.0
7938,0,5089315,f,y,n,0,135000.0,commercial_associate,higher_education,married,house_/_apartment,-11616,-825,1,1,1,1,high_skill_tech_staff,2.0
12953,0,5135616,m,n,y,0,90000.0,working,secondary_/_secondary_special,single_/_not_married,house_/_apartment,-15198,-474,1,0,0,0,low-skill_laborers,1.0
11476,0,5116550,m,n,y,0,135000.0,pensioner,secondary_/_secondary_special,married,house_/_apartment,-21312,365243,1,0,0,0,,2.0
5669,0,5061360,m,n,y,0,65250.0,pensioner,higher_education,married,house_/_apartment,-20872,365243,1,0,0,0,,2.0
11354,0,5116211,f,n,y,1,112500.0,working,secondary_/_secondary_special,single_/_not_married,office_apartment,-13593,-1692,1,0,0,0,sales_staff,2.0
5797,0,5061647,m,n,y,1,157500.0,state_servant,incomplete_higher,married,house_/_apartment,-8948,-1751,1,0,0,0,core_staff,3.0
13945,0,5143254,f,n,y,0,157500.0,pensioner,secondary_/_secondary_special,married,house_/_apartment,-20578,365243,1,0,1,0,,2.0
2687,0,5033551,m,n,n,0,157500.0,commercial_associate,secondary_/_secondary_special,married,house_/_apartment,-17018,-9485,1,0,1,0,drivers,2.0
4820,0,5053189,m,n,n,2,157500.0,working,higher_education,married,house_/_apartment,-11811,-4676,1,0,0,0,laborers,4.0
3472,0,5041666,f,y,y,1,333000.0,commercial_associate,higher_education,married,house_/_apartment,-11525,-1616,1,0,0,0,managers,3.0
7425,0,5069506,m,y,n,0,225000.0,working,secondary_/_secondary_special,married,municipal_apartment,-14542,-444,1,1,1,1,,2.0
13513,0,5142112,m,y,y,1,225000.0,commercial_associate,secondary_/_secondary_special,single_/_not_married,house_/_apartment,-14939,-5384,1,1,0,0,laborers,2.0
14926,0,5150422,f,n,y,0,67500.0,pensioner,secondary_/_secondary_special,widow,house_/_apartment,-22116,365243,1,0,0,0,,1.0
11842,0,5117579,f,y,n,0,180000.0,working,secondary_/_secondary_special,married,house_/_apartment,-19317,-11542,1,0,0,0,medicine_staff,2.0
7685,0,5085876,f,n,y,0,315000.0,working,secondary_/_secondary_special,married,house_/_apartment,-18018,-11157,1,0,0,0,private_service_staff,2.0
11864,0,5117640,m,n,n,1,135000.0,working,secondary_/_secondary_special,married,house_/_apartment,-11101,-96,1,1,0,0,security_staff,3.0
6326,0,5065478,m,n,n,1,148500.0,working,secondary_/_secondary_special,married,house_/_apartment,-13574,-109,1,0,0,0,laborers,3.0
7873,0,5089140,f,y,n,0,202500.0,commercial_associate,secondary_/_secondary_special,civil_marriage,with_parents,-14228,-5330,1,0,1,0,,2.0
7563,0,5079097,m,y,y,1,112500.0,working,secondary_/_secondary_special,married,house_/_apartment,-12571,-451,1,1,0,1,drivers,3.0
